candidate_id,candidate_net_jpy,candidate_pf,net_delta_jpy,Q1_delta_jpy,Q2_delta_jpy,positive_effect_months,negative_effect_months,ex_best_two_entry_dates_delta_jpy,leave_one_month_out_min_delta_jpy,research_eligible,failed_gates
F_C15_A120_N1_B1,15881,1.7994865082561418,-6916,-1534,-5382,2,4,-12753.0,-11712.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A120_N2_B0,10436,1.503060978549048,-12361,-5386,-6975,2,4,-18198.0,-15379.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A120_N2_B1,15513,1.6784011894870337,-7284,-2134,-5150,2,4,-13121.0,-11907.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A120_N3_B0,9670,1.449537445957882,-13127,-6152,-6975,2,4,-18964.0,-15379.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A120_N3_B1,14747,1.624000338509711,-8050,-2900,-5150,2,4,-13887.0,-11907.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N1_B0,12352,1.6002526970551074,-10445,-2883,-7562,1,5,-16282.0,-14265.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N1_B1,15048,1.7090420769919428,-7749,-761,-6988,1,5,-13586.0,-12429.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N2_B0,16262,1.7375725689404935,-6535,-2615,-3920,2,4,-12372.0,-10416.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N2_B1,17981,1.7456973416829096,-4816,-620,-4196,2,4,-10653.0,-9855.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N3_B0,15876,1.6867970237065235,-6921,-3370,-3551,2,4,-12758.0,-9807.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A240_N3_B1,18162,1.7262185613179255,-4635,-1203,-3432,3,3,-10472.0,-8851.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N1_B0,13563,1.622870264064294,-9234,-2372,-6862,1,5,-15071.0,-13192.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N1_B1,15034,1.6833325757920097,-7763,-1220,-6543,2,4,-13600.0,-11973.0,False,"net_delta_positive,Q1_delta_nonnegative,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N2_B0,19545,1.779244079419504,-3252,227,-3479,2,4,-9089.0,-8017.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N2_B1,20074,1.760062095339063,-2723,1105,-3828,2,4,-8560.0,-7929.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N3_B0,19754,1.7232188621219888,-3043,313,-3356,2,4,-8880.0,-7469.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
F_C15_A480_N3_B1,20158,1.6997361843932242,-2639,1363,-4002,2,4,-8476.0,-7678.0,False,"net_delta_positive,Q2_delta_nonnegative,target_F05_delta_positive,positive_effect_months_min,negative_effect_months_max,ex_best_two_entry_dates_delta_positive,leave_one_month_out_min_delta_positive,benefit_exceeds_harm"
